id,smiles,notes,params_json
3650575,CC(C(=O)N1CCCC1)OC(=O)C2=CC3=C(C=C2)N=CS3,,
3651724,CSC1=NC2=C(S1)C3=C(C=C2)N=C(S3)NC(=O)CCSC4=CC=CC=C4,,
3651965,CC1CN(CC(O1)C)C(C2=CC(=CC=C2)OC)C3=C(N4C(=NC=N4)S3)O,,
3652331,CC1=C(N=C(S1)C2=CC=CS2)O,,
3653678,C1=CC=C2C(=C1)N=C(S2)S(=O)(=O)C(F)F,,
3655370,CCCCOC1=CC=CC(=C1)C(=O)NC2=NC3=C(S2)C=C(C=C3)S(=O)(=O)N,,
3655979,CC(=O)N1CCC2=C(C1)SC(=C2C3=NC4=CC=CC=C4S3)NC(=O)C5=C(C=CC=C5F)F,,
3656101,C1=CC=C2C(=C1)N=C(S2)C(=O)NC3=NC4=C(C=C(C=C4S3)F)F,,
3656447,C1C2CC3CC1CC(C2)(C3)CCNC(=O)CSC4=NC5=CC=CC=C5S4,,
3656833,C1CC2=C(C1)SC(=C2C#N)NC(=O)C3=CC4=C(C=C3)N=CS4,,
3657896,C1COCCN1S(=O)(=O)C2=CC(=C(C=C2)O)NC(=O)CSC3=NC4=CC=CC=C4S3,,
3658295,CC1=C(C2=CC=CC=C2N1)CCN=C(C)C3=C(NN(C3=O)C4=NC5=CC=CC=C5S4)C,,
3658620,CC(C)C1=CC2=C(C=C1)N=C(S2)NC(C(=O)OC)(C(F)(F)F)NC(=O)CC3=CC=CC=C3,,
3658807,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])OCC2=CN=C(S2)Cl,,
3659304,CN1C=C(C2=CC=CC=C21)SCC(=O)NC3=NC=CS3,,
3659964,C1=CC=C(C(=C1)C2=CN3C4=C(C=C(C=C4)F)SC3=N2)F,,
3660672,C1=C(C=C2C(=C1F)N=C(S2)N)Br,,
3661192,CCOC1=C2C(=CC=C1)SC(=N2)NC(=O)C(C)C,,
3661390,CCOC1=CC2=C(C=C1)N=C(S2)NC(=O)C3=NNC(=O)CC3,,
3662405,C1CN(CCN1)CCN=CC2=C(NN(C2=O)C3=NC4=CC=CC=C4S3)C(F)(F)F,,
3662704,COC1=C(C=C(C=C1)C2C(=C(NC(=O)N2)C3=CC=CC=C3)C4=NC5=CC=CC=C5S4)OCC6=CC=CC=C6,,
3664778,CN1C(=NN=C1SCC(=O)NC2=CC3=C(C=C2)N=C(S3)SCC(=O)N4CCCC4)C5=CC=CC=C5,,
3665766,C1=CC(=CC=C1C2=NC3=C(S2)C=C(C=C3)C(=O)O)N,,
3667020,CC1C2CCC3(CC4=C(C(C3C2OC1=O)C)N=C(S4)NC(=O)NC5=CC(=CC=C5)SC)C,,
3668243,COC(=O)C1=CC2=C(C=C1)N=C(S2)NC(=O)CSCC(=O)OCC(=O)C3=CC=CC=C3,,
3669662,C1=CC=C(C(=C1)C2=NC3=CC=CC=C3S2)NC(=O)C4=CC(=CC(=C4)Cl)Cl,,
3670000,CC(C)(C)C1=CC=C(C=C1)C(=O)NC2=CC3=C(C=C2)N=C(S3)SCC(=O)C4=CC=C(C=C4)F,,
3670544,C1CCC(=NNC2=NC(=CS2)C3=C(C=C(C=C3)Cl)Cl)C1,,
3672384,CC(C(=O)NC1=NC(=CS1)C2=CC=CC=C2)OC(=O)CNC(=O)C3=CC=CC=C3F,,
3673171,C1=CC=C2C(=C1)N=C(S2)C3=CC=C(S3)C4=NC5=CC=CC=C5S4,,
3673245,COC1=CC2=C(C=C1)N=C(S2)N=CC3=C(N(C(=O)NC3=O)C4=CC(=CC=C4)Cl)O,,
3674683,CCC1=CC2=C(C(=C1O)C[NH+](C)C)OC(=C(C2=O)C3=NC4=CC=CC=C4S3)C(F)(F)F,,
3675623,C1=CC=C(C=C1)CC2=CC=C(C=C2)C(=O)OCC3=NC4=CC=CC=C4S3,,
3676178,CC1=NC2=C(S1)C=C(C=C2)N=NC3=C4C=CC=NC4=C(C=C3)O,,
3678088,CCOC1=CC2=C(C=C1)N=C(S2)SCC3=NC(=NC(=N3)N4CCOCC4)N,,
3679021,CC1=C(SC2=NC(=CN12)C3=CC=CC=C3)C(=O)NC4=CC=NC=C4,,
3680194,C1CC2=CC3=C(C4=CC=CC1=C24)N=C(S3)NC(=O)CCSC5=CC=CC=C5,,
3680697,C1CC(=O)N(C1)CCCN=CC2=C(NN(C2=O)C3=NC4=CC=CC=C4S3)C5=CC=CC=C5,,
3681839,C1=CC(=C2C(=C1)SC(=N2)N=CC3=C(C=CC(=C3)[N+](=O)[O-])O)O,,
3683918,CC1=CSC(=N1)SCC2=CC=C(C=C2)C(=O)O,,
3683919,C1=CC=C2C(=C1)N=C(S2)CC3=CC=C(C=C3)N,,
3684509,COC(=O)CN1C2=CC=CC=C2C(=C1O)N=NC(=O)CSC3=NC4=CC=CC=C4S3,,
